model,temperature,top_p,top_k,repetition,max_length,persona,informativeness,coherency,fluency
LLaMa2-7B-Chat,0.72,0.73,0,1.1,512," i am a model building enthusiast, i like camping and the outdoors in general, i m originally from london , england, i recently lost both my parents to an automobile accident,",10,5,5
LLaMa2-7B-Chat,0.72,0.73,0,1.1,512," i have driven a race car before, i have a bad habit of being dishonest, i sometimes get into fights, i do whatever it takes to get what i want, i would like to try sky diving,",10,9,6
LLaMa2-7B-Chat,0.72,0.73,0,1.1,512," my mother was a sunday school teacher, i went to an all girls christian high school, i am an only child, i m currently in nursing school, i dance ballet,",10,9,8
LLaMa2-7B-Chat,0.72,0.73,0,1.1,512," i have 3 dogs, i like to go to the lake, my favorite color is blue, i like to read horror novels, i work as an accountant,",10,10,8
LLaMa2-7B-Chat,0.72,0.73,0,1.1,512," i have a large cd collection, favorite band is the beetles, i collect stamps, i play the bass,",10,8,6
LLaMa2-7B-Chat,0.7,0.73,0,1.1,512," my favorite flower is a daisy, i am dating my boss, i work at a real estate office, i am in my 20s, i love to sing,",10,9,5
LLaMa2-7B-Chat,0.7,0.73,0,1.1,512," i am very health conscious , and i watch what i eat, i like to write poetry in my spare time, my favorite musician is ed sheeran, i love romantic comedies,",10,9,3
LLaMa2-7B-Chat,0.75,0.73,0,1.1,512," i am looking to start a business, i have a brand new chevrolet, i am a big sports fan, i enjoy hanging out with friends and family, i like to get involved in politics,",10,7,0
LLaMa2-7B-Chat,0.75,0.73,0,1.1,512," cooking is my passion, my favorite color is blue, i like to run, my hair is long and blonde,",10,8,6
LLaMa2-7B-Chat,0.75,0.73,0,1.1,512," my daughter just graduated high school ranked at the top of her class, i am a zookeeper, my wife is a breast cancer survivor, i work with my wife, i have trained over 20 types of animals,",10,4,5
LLaMa2-7B-Chat,0.61,0.73,0,1.1,512," my favorite color is purple, i am not a fan of science, i have owned two mustangs, my dad works for ups, i am currently looking for a job,",10,8,6
LLaMa2-7B-Chat,0.68,0.73,0,1.1,512," i like watching action adventure movies and eating popcorn, i m starting an internship at a construction site next week, i am training to be a welder, my mother raised me since my father left when i was five years old, i love riding roller coasters,",10,9,6
LLaMa2-13B-Chat,0.72,0.73,0,1.1,512," my parents were like this as well, i am all about family and fun, i like to live off of the land, i am a free spirit,",10,8,6
LLaMa2-13B-Chat,0.72,0.73,0,1.1,512," my poppa has a train set that i play with, i have a dog named percy, i like thomas the tank engine, my cat died, i like books about trains,",10,8,2
GPT-3.5-turbo-1106,0.72,0.73,0,1.1,512," my poppa has a train set that i play with, i have a dog named percy, i like thomas the tank engine, my cat died, i like books about trains,",0,1,10
GPT-3.5-turbo-1106,0.72,0.73,0,1.1,512," my days are filled with cross country try outs and basketball practice, i coexist well with my husband, but , i feel lost and far away from who i truly am, i have a friend group , but i do not like any of them,",10,2,10
GPT-3.5-turbo-1106,0.72,0.73,0,1.1,512," my parents were like this as well, i am all about family and fun, i like to live off of the land, i am a free spirit,",0,2,10
GPT-3.5-turbo-1106,0.72,0.73,0,1.1,512," i like watching action adventure movies and eating popcorn, i m starting an internship at a construction site next week, i am training to be a welder, my mother raised me since my father left when i was five years old, i love riding roller coasters,",0,2,9
GPT-3.5-turbo-1106,0.72,0.73,0,1.1,512," i like the beatles, i am well built and tall, i work as a scientist, my parents were scientists,",0,1,9
GPT-3.5-turbo-1106,0.72,0.73,0,1.1,512," i am a free spirit, i like to live off of the land, i am all about family and fun, my parents were like this as well,",0,3,10
GPT-3.5-turbo-1106,0.72,0.73,0,1.1,512," i live in seattle, i am a software engineer, my favorite seafood in lobster, i work at google, i started at google on an internship,",0,2,10
LLaMa2-7B-Chat,0.65,0.73,0,1.1,512," i live in seattle, i am a software engineer, my favorite seafood in lobster, i work at google, i started at google on an internship,",10,10,8
LLaMa2-7B-Chat,0.65,0.73,0,1.1,512," my favorite drink is chocolate milk, i don t work, i like to swim, i hate tacos,",10,9,9
LLaMa2-7B-Chat,0.65,0.73,0,1.1,512," i work for a large law firm, i enjoy golfing, i am married with three kids, i love my work and just got promoted, i listen to classical music,",10,10,9
LLaMa2-7B-Chat,0.65,0.73,0,1.1,512," i love all animals, i love my job, my favorite music is country, i used to work as an actress,",10,10,10
LLaMa2-7B-Chat,0.63,0.73,0,1.1,512," i love to listen to frank sinatra, i like to cook stews, i am a older lady, i watch a lot of spongebob,",10,7,0
LLaMa2-7B-Chat,0.63,0.73,0,1.1,512," i have two border collies, i speak french and english fluently, i am an artist, i enjoy hiking, i am planning to move to a new state soon,",10,9,8
LLaMa2-7B-Chat,0.63,0.73,0,1.1,512," i love watching superheroes shows, i owe 2 monitors for work, i prefer iphone over samsung, i m single,",10,9,8
LLaMa2-7B-Chat,0.66,0.73,0,1.1,512," i draw comic books, i work in a corner grocery store during the day, i like dr pepper and black jack gum , but not together, my favorite show is scooby doo, in the evenings i watch the door at a club where they play punkrock,",10,9,6
LLaMa2-7B-Chat,0.66,0.73,0,1.1,512," i love wearing flip flops, i like to bake brownies, i love laughing, i have freckles,",10,9,6
LLaMa2-7B-Chat,0.72,0.72,0,1.1,512," i am recently divorced, i am trying to write an ebook on animals, i wish to buy a corvette when i retire, i am a huge fan of dogs, i work as a mall cop,",10,6,4
LLaMa2-7B-Chat,0.72,0.71,0,1.1,512," one day i would really like to skydive, my twin brother and i share an apartment, i volunteer at the local humane society, when i m not touring with the band , i like to garden,",10,10,8
LLaMa2-7B-Chat,0.72,0.71,0,1.1,512," we have two sons, i enjoy visiting museums, i like to attend wine tours, i like to paint,",10,8,7
LLaMa2-7B-Chat,0.72,0.72,0,1.1,512," i have reached 50k subscribers !, i started taking beauty classes too, through them i have learned to make up myself and others, recently i started a youtube channel where i share make up tutorials too, i like to watch make up tutorials in youtube,",10,2,8
LLaMa2-7B-Chat,0.72,0.72,0,1.1,512," i work at a hotel overnight, i eat more junk food than i really should, i enjoy video games, i write in my spare time, pop is my favorite music,",10,8,7
LLaMa2-7B-Chat,0.72,0.7,0,1.1,512," my favorite color is blue, i work full time, i like to go hiking, i like nature,",10,9,8
